id,description,genome_fraction,observed_region_hits,fold_enrichment,p_value,p_adjust,mean_tss_dist,observed_gene_hits,gene_set_size,fold_enrichment_hyper,p_value_hyper,p_adjust_hyper
GO:0097466,ubiquitin-dependent glycoprotein ERAD pathway,0.0012679386987489592,253,7.186359592214347,0,0,513735,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:1904382,mannose trimming involved in glycoprotein ERAD pathway,0.0012679386987489592,253,7.186359592214347,0,0,513735,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:1903608,protein localization to cytoplasmic stress granule,7.692421844056914e-4,151,7.069692681867741,0,0,179768,3,6,1.8359635474549898,0.2062513146044942,0.5135129609683073
GO:0062028,regulation of stress granule assembly,0.001179563234251052,230,7.022524921638642,0,0,480379,2,9,0.8159837988688844,0.750217760871529,0.9345790936855798
GO:0090646,mitochondrial tRNA processing,0.0011689414521763968,226,6.963095638471463,0,0,466386,2,12,0.6119878491516633,0.8790781765662404,0.9762847523119922
GO:0032289,central nervous system myelin formation,0.0013553701602316735,261,6.935364131290207,0,0,315530,4,8,1.8359635474549898,0.14695130213797236,0.436321657938162
GO:0000965,mitochondrial RNA 3'-end processing,0.001191952749379343,228,6.8890999852998345,0,0,463348,3,7,1.5736830406757056,0.2912039842857842,0.6153775217282969
GO:0055089,fatty acid homeostasis,0.001489418588389105,275,6.649708455196151,0,0,490389,4,13,1.129823721510763,0.49033512107592014,0.7902708207712346
GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,0.0021196070308723627,390,6.626679040286456,0,0,604090,8,19,1.546074566277886,0.11742758740955961,0.38875764848826677
GO:0051956,negative regulation of amino acid transport,0.002194117538492307,399,6.549372432104192,0,0,520234,4,12,1.2239756983033265,0.4210895060265559,0.7255607723213372
GO:0006958,"complement activation, classical pathway",0.00237461790761217,425,6.44587489325017,0,0,458469,7,29,0.8863272298058572,0.7124964766306267,0.9181563481787632
GO:2000001,regulation of DNA damage checkpoint,0.002650917101236823,474,6.4397480392857585,0,0,416293,3,20,0.550789064236497,0.9393094653702396,0.9909975707129156
GO:0071025,RNA surveillance,0.0012743005798098684,227,6.415649908102894,0,0,468658,4,17,0.8639828458611718,0.72110846140341,0.9191858571093425
GO:0150093,amyloid-beta clearance by transcytosis,7.46520381460738e-4,132,6.368232965529498,0,0,394473,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.0031952656013948333,553,6.233110813637711,0,0,441118,9,37,0.8931714555186439,0.7132403131946782,0.9181563481787632
GO:0032020,ISG15-protein conjugation,9.719930542244045e-4,168,6.2249060458301955,0,0,433995,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0007196,adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway,0.0028333963803811287,484,6.152118718878643,0,0,462863,6,9,2.4479513966066535,0.015503499498474627,0.11384255736379915
GO:0002371,dendritic cell cytokine production,0.001347744014391898,228,6.092760628532526,0,0,225245,4,14,1.049122027117137,0.5558413806242845,0.819966124658522
GO:0002730,regulation of dendritic cell cytokine production,0.001347744014391898,228,6.092760628532526,0,0,225245,4,14,1.049122027117137,0.5558413806242845,0.819966124658522
GO:0048712,negative regulation of astrocyte differentiation,0.0019004654716639252,317,6.007391826213033,0,0,626937,4,12,1.2239756983033265,0.4210895060265559,0.7255607723213372
GO:0071971,extracellular exosome assembly,0.001157395246408345,193,6.005681484509134,0,0,610730,3,7,1.5736830406757056,0.2912039842857842,0.6153775217282969
GO:1901387,positive regulation of voltage-gated calcium channel activity,0.0010671415655409498,177,5.973624381116814,0,0,305577,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0007158,neuron cell-cell adhesion,0.0039924278986824754,658,5.935748515373507,0,0,454419,9,12,2.753945321182485,7.789406648124331e-4,0.013347392461153063
GO:1903944,negative regulation of hepatocyte apoptotic process,0.0014444952330497933,238,5.933999764662891,0,0,483051,3,7,1.5736830406757056,0.2912039842857842,0.6153775217282969
GO:1903943,regulation of hepatocyte apoptotic process,0.0015060302444105341,238,5.691541989137882,0,0,483051,3,8,1.3769726605912425,0.3777555935744721,0.7094502820588227
GO:0000912,assembly of actomyosin apparatus involved in cytokinesis,0.0012590259117625502,196,5.6067098755381615,0,0,605399,4,8,1.8359635474549898,0.14695130213797236,0.436321657938162
GO:0000915,actomyosin contractile ring assembly,0.0012590259117625502,196,5.6067098755381615,0,0,605399,4,8,1.8359635474549898,0.14695130213797236,0.436321657938162
GO:0035855,megakaryocyte development,0.0029295308504024313,456,5.606004570390042,0,0,500780,6,21,1.049122027117137,0.5275612561846537,0.8065078070137796
GO:0061197,fungiform papilla morphogenesis,0.0010546471611887485,164,5.600455370486367,0,0,336448,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:0030970,"retrograde protein transport, ER to cytosol",0.0017950378164041652,279,5.597798759785926,0,0,522284,8,26,1.129823721510763,0.41412120980789535,0.7255607723213372
GO:1903513,endoplasmic reticulum to cytosol transport,0.0017950378164041652,279,5.597798759785926,0,0,522284,8,26,1.129823721510763,0.41412120980789535,0.7255607723213372
GO:0002455,humoral immune response mediated by circulating immunoglobulin,0.002741528803988499,426,5.596331944385648,0,0,457467,8,40,0.734385418981996,0.8892822660616795,0.9762847523119922
GO:0061196,fungiform papilla development,0.001056764524988752,164,5.589234137009467,0,0,336448,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0060066,oviduct development,0.001895563648599848,294,5.585931935009118,0,0,379010,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:0021932,hindbrain radial glia guided cell migration,0.002052659735557848,314,5.509337340792406,0,0,632592,5,8,2.294954434318737,0.03901087458757524,0.2003960336471583
GO:1904893,negative regulation of receptor signaling pathway via STAT,0.002623664083818942,400,5.4908356137205345,0,0,592475,10,22,1.6690577704136274,0.0510749728967006,0.23471567289945247
GO:2000171,negative regulation of dendrite development,0.0012068959674791046,184,5.490787893825724,0,0,436812,3,8,1.3769726605912425,0.3777555935744721,0.7094502820588227
GO:0070863,positive regulation of protein exit from endoplasmic reticulum,0.001469727384753668,224,5.489059175202573,0,0,534423,5,12,1.5299696228791582,0.2069889583050426,0.5135129609683073
GO:2000758,positive regulation of peptidyl-lysine acetylation,0.0015267815284689583,232,5.472651190969615,0,0,485862,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0038026,reelin-mediated signaling pathway,0.0019575853459595327,296,5.445749827719659,0,0,611917,4,12,1.2239756983033265,0.4210895060265559,0.7255607723213372
GO:1904587,response to glycoprotein,0.0017068917096758752,258,5.443778143507552,0,0,507906,4,9,1.6319675977377688,0.2097962690891897,0.5135129609683073
GO:0044837,actomyosin contractile ring organization,0.0013093727392395197,196,5.391125690563386,0,0,605399,4,9,1.6319675977377688,0.2097962690891897,0.5135129609683073
GO:0002732,positive regulation of dendritic cell cytokine production,9.758627673252038e-4,145,5.351381765637641,0,0,183945,3,9,1.2239756983033268,0.4617352558171126,0.7618179335036097
GO:0060789,hair follicle placode formation,0.0011060428809048215,164,5.340212807134375,0,0,336448,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:0072344,rescue of stalled ribosome,0.001577410857588993,233,5.319830265037532,0,0,459779,6,28,0.7868415203378528,0.8151006472673951,0.9571324724710311
GO:0051645,Golgi localization,0.0020427036504242773,299,5.271722048224189,0,0,637227,5,14,1.3114025338964215,0.326569472205008,0.6613424533323224
GO:0071681,cellular response to indole-3-methanol,0.0010773619715187745,156,5.214943855991087,0,0,344607,1,5,0.734385418981996,0.7960356057530156,0.9481702949501966
GO:0016078,tRNA decay,0.0016593433266928338,240,5.20908770046451,0,0,453264,4,16,0.9179817737274949,0.6716902263999734,0.8935118840647555
GO:0006558,L-phenylalanine metabolic process,3.837113530007966e-4,54,5.068457293284077,0,0,259034,1,8,0.45899088686374745,0.9214459025504853,0.9843284270452602
GO:0006559,L-phenylalanine catabolic process,3.837113530007966e-4,54,5.068457293284077,0,0,259034,1,8,0.45899088686374745,0.9214459025504853,0.9843284270452602
GO:1902222,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,3.837113530007966e-4,54,5.068457293284077,0,0,259034,1,8,0.45899088686374745,0.9214459025504853,0.9843284270452602
GO:0002888,positive regulation of myeloid leukocyte mediated immunity,0.0010888396496605381,153,5.060741849678383,0,0,174802,3,17,0.6479871343958788,0.8813785557835183,0.9762847523119922
GO:0070601,centromeric sister chromatid cohesion,0.002441176413536724,338,4.986596361057763,0,0,449188,4,9,1.6319675977377688,0.2097962690891897,0.5135129609683073
GO:0007216,G protein-coupled glutamate receptor signaling pathway,0.003601458211387082,496,4.9600948024222244,0,0,453307,9,13,2.542103373399217,0.0019182401993174114,0.026888886029807404
GO:0009629,response to gravity,0.0015559645076067897,214,4.953369979779453,0,0,607220,2,9,0.8159837988688844,0.750217760871529,0.9345790936855798
GO:0006751,glutathione catabolic process,8.765760264946487e-4,118,4.848184056558081,0,0,485925,3,9,1.2239756983033268,0.4617352558171126,0.7618179335036097
GO:0006516,glycoprotein catabolic process,0.003685631114313648,492,4.807728316794118,0,0,479043,7,28,0.917981773727495,0.6740765634152761,0.8935118840647555
GO:0014048,regulation of glutamate secretion,0.0031855654459676036,424,4.793646509631356,0,0,502269,8,18,1.6319675977377688,0.08827725142730325,0.3356573062298565
GO:1990708,conditioned place preference,0.0015364299385457255,204,4.781939607209965,0,0,441935,5,5,3.67192709490998,0.0014956398551958516,0.02231094256431922
GO:1903543,positive regulation of exosomal secretion,0.00149980262155623,199,4.7786546852577745,0,0,600360,5,14,1.3114025338964215,0.326569472205008,0.6613424533323224
GO:0099545,trans-synaptic signaling by trans-synaptic complex,0.0011488097138005362,152,4.765211371725953,0,0,507003,4,6,2.447951396606653,0.05060607278757212,0.23471567289945247
GO:0097090,presynaptic membrane organization,0.0011506208010667216,152,4.757710887093644,0,0,525248,3,6,1.8359635474549898,0.2062513146044942,0.5135129609683073
GO:0060216,definitive hemopoiesis,0.003414173607264697,451,4.757487126465845,0,0,506583,5,19,0.9662966039236789,0.6218078114264876,0.8586692378619563
GO:0033234,negative regulation of protein sumoylation,0.0012222727277043624,159,4.685065677796422,0,0,341651,2,8,0.9179817737274949,0.6861105375261034,0.8935118840647555
GO:0035640,exploration behavior,0.005001116797522663,650,4.680939629352205,0,0,342213,13,30,1.5911684077943247,0.04198199975678274,0.2124856986597391
GO:0032790,ribosome disassembly,0.0017957440705118283,233,4.673025604483242,0,0,459779,6,34,0.6479871343958788,0.9322987135789849,0.9870019071670225
GO:2001034,positive regulation of double-strand break repair via nonhomologous end joining,0.001684425836437263,218,4.66113069132619,0,0,308548,3,14,0.7868415203378528,0.7785674314188425,0.9481702949501966
GO:2000756,regulation of peptidyl-lysine acetylation,0.001858771305898067,240,4.650203543865935,0,0,475578,3,10,1.101578128472994,0.5403074698095851,0.8104427893847456
GO:0021819,layer formation in cerebral cortex,0.0033868506636975425,433,4.604458142394684,0,0,537764,6,11,2.002869324496353,0.0508564663323825,0.23471567289945247
GO:0031297,replication fork processing,0.005262780448104358,665,4.550855788462511,0,0,375233,12,49,0.899247451814689,0.7176935748266,0.9191858571093425
GO:0045188,"regulation of circadian sleep/wake cycle, non-REM sleep",6.038458635289188e-4,76,4.532879533329271,0,0,393094,1,5,0.734385418981996,0.7960356057530156,0.9481702949501966
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0.004274599490323122,537,4.524447328617889,0,0,444125,11,47,0.85938719242574,0.7713285860200281,0.9481702949501966
GO:0071680,response to indole-3-methanol,0.001253575867688168,157,4.510614483152695,0,0,343110,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0060440,trachea formation,0.0019665442842044622,245,4.486927315682815,0,0,379670,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0061952,midbody abscission,0.0015642507562957076,193,4.4436271957278635,0,0,612874,3,18,0.6119878491516634,0.9046999279367265,0.9807026278405532
GO:0051970,negative regulation of transmission of nerve impulse,8.472825640409653e-4,104,4.420707197729795,0,0,355770,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:1905870,positive regulation of 3'-UTR-mediated mRNA stabilization,0.0010041534887983044,123,4.411554924424095,0,0,496746,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0098957,anterograde axonal transport of mitochondrion,9.244880254539127e-4,112,4.3631828451036965,0,0,266981,4,6,2.447951396606653,0.05060607278757212,0.23471567289945247
GO:0045005,DNA-templated DNA replication maintenance of fidelity,0.005541191411437073,666,4.328702684161033,0,0,374959,13,57,0.8374570567338551,0.8151005231729684,0.9571324724710311
GO:0070426,"positive regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",7.60242688994183e-4,91,4.310978139799082,0,0,302543,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:0039702,viral budding via host ESCRT complex,0.0016149220411053064,193,4.304199846610568,0,0,612874,3,18,0.6119878491516634,0.9046999279367265,0.9807026278405532
GO:0036507,protein demannosylation,0.0021940601990499027,261,4.284287914234213,0,0,501732,5,16,1.1474772171593686,0.45096449660445903,0.7603583170612511
GO:0036508,"protein alpha-1,2-demannosylation",0.0021940601990499027,261,4.284287914234213,0,0,501732,5,16,1.1474772171593686,0.45096449660445903,0.7603583170612511
GO:0044818,mitotic G2/M transition checkpoint,0.0043957325587097255,522,4.276868744103475,0,0,412962,10,46,0.7982450206326044,0.8425768100099822,0.9624472891585893
GO:0035641,locomotory exploration behavior,0.0018568623220228985,220,4.267068920757696,0,0,286310,6,14,1.5736830406757056,0.15497819209434516,0.43985945306777063
GO:2000543,positive regulation of gastrulation,0.0019411275274665055,229,4.248817670143685,0,0,393163,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:0002089,lens morphogenesis in camera-type eye,0.0063493824609881415,748,4.242841328362673,0,0,457396,11,21,1.9233903830480847,0.01263194700675152,0.09919678177944355
GO:0010457,centriole-centriole cohesion,0.0029324118077525023,345,4.237218074526911,0,0,448032,6,15,1.468770837963992,0.2016964286639148,0.5135129609683073
GO:0035609,C-terminal protein deglutamylation,0.0011020249243675624,129,4.215848288458761,0,0,326063,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:0035090,maintenance of apical/basal cell polarity,0.0016529199106205639,193,4.205253477165664,0,0,611703,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0045199,maintenance of epithelial cell apical/basal polarity,0.0016529199106205639,193,4.205253477165664,0,0,611703,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0042640,anagen,0.0018347418839616977,212,4.1614776483686695,0,0,363728,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:0051884,regulation of timing of anagen,0.0018347418839616977,212,4.1614776483686695,0,0,363728,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:1903008,organelle disassembly,0.004141619533726591,477,4.147962862480805,0,0,462765,12,63,0.699414684744758,0.9501673377858129,0.9950565486954288
GO:0022009,central nervous system vasculogenesis,0.0015839014027645658,182,4.138375794699833,0,0,310607,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:1903969,regulation of response to macrophage colony-stimulating factor,7.415486322473872e-4,85,4.1282497967397385,0,0,293306,3,6,1.8359635474549898,0.2062513146044942,0.5135129609683073
GO:1903972,regulation of cellular response to macrophage colony-stimulating factor stimulus,7.415486322473872e-4,85,4.1282497967397385,0,0,293306,3,6,1.8359635474549898,0.2062513146044942,0.5135129609683073
GO:0006956,complement activation,0.003790109172466273,431,4.0955499876767085,0,0,455773,10,45,0.8159837988688844,0.8212867328843997,0.9591170999842781
GO:0090042,tubulin deacetylation,0.0021300330197290517,241,4.074904052662185,0,0,458731,7,16,1.6064681040231161,0.11669499611716061,0.38875764848826677
GO:0090043,regulation of tubulin deacetylation,0.0021300330197290517,241,4.074904052662185,0,0,458731,7,16,1.6064681040231161,0.11669499611716061,0.38875764848826677
GO:0003298,physiological muscle hypertrophy,0.0043239995177389275,489,4.072957730422781,0,0,482812,10,19,1.9325932078473578,0.01655664916440669,0.11858817331557078
GO:0003301,physiological cardiac muscle hypertrophy,0.0043239995177389275,489,4.072957730422781,0,0,482812,10,19,1.9325932078473578,0.01655664916440669,0.11858817331557078
GO:0061049,cell growth involved in cardiac muscle cell development,0.0043239995177389275,489,4.072957730422781,0,0,482812,10,19,1.9325932078473578,0.01655664916440669,0.11858817331557078
GO:0022010,central nervous system myelination,0.0024792120431725894,280,4.067532569745887,0,0,316791,8,21,1.3988293694895162,0.18863532991060872,0.5087112206628445
GO:0032291,axon ensheathment in central nervous system,0.0024792120431725894,280,4.067532569745887,0,0,316791,8,21,1.3988293694895162,0.18863532991060872,0.5087112206628445
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",0.0013002124136846822,146,4.044131123469377,0,0,190520,4,11,1.3352462163309018,0.3497226567860505,0.6826888957044541
GO:0009073,aromatic amino acid family biosynthetic process,5.034053412353499e-4,56,4.006423812732729,0,0,251214,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:0034389,lipid droplet organization,0.0031431804098469227,349,3.9989207607322497,0,0,474452,7,35,0.7343854189819959,0.8779939668475568,0.9762847523119922
GO:0000963,mitochondrial RNA processing,0.002144781843133833,238,3.9965064047958174,0,0,465643,4,21,0.6994146847447581,0.8640301360610649,0.9698741476923048
GO:0032497,detection of lipopolysaccharide,7.625390637363271e-4,83,3.920149919600948,0,0,297394,1,5,0.734385418981996,0.7960356057530156,0.9481702949501966
GO:0070861,regulation of protein exit from endoplasmic reticulum,0.00210333941150536,228,3.9040212070910476,0,0,526439,9,22,1.5021519933722647,0.1167731195641799,0.38875764848826677
GO:0060856,establishment of blood-brain barrier,0.0017174673404920099,182,3.8165379171135885,0,0,308874,4,14,1.049122027117137,0.5558413806242845,0.819966124658522
GO:0032891,negative regulation of organic acid transport,0.0038443816539634607,407,3.812892788124463,0,0,521447,5,19,0.9662966039236789,0.6218078114264876,0.8586692378619563
GO:0035112,genitalia morphogenesis,0.0020909163318254174,221,3.8066443184533574,0,0,324914,4,10,1.468770837963992,0.2784000898346768,0.6108036713280778
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,0.004985794579693839,525,3.792377864145527,0,0,410824,12,58,0.7597090541193061,0.9008085831489778,0.9807026278405532
GO:1903541,regulation of exosomal secretion,0.002039632493948182,214,3.7787532334624587,0,0,571942,6,16,1.3769726605912425,0.2526972881919677,0.587765515628831
GO:0140650,radial glia-guided pyramidal neuron migration,0.0026365039233485553,276,3.7702256245411614,0,0,650890,4,6,2.447951396606653,0.05060607278757212,0.23471567289945247
GO:1901985,positive regulation of protein acetylation,0.0022393317866125965,233,3.747349129221498,0,0,483906,3,13,0.8473677911330723,0.7308404205342944,0.9256741946864254
GO:0035610,protein side chain deglutamylation,0.0012433764395551254,129,3.7365754597185314,0,0,326063,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:0006655,phosphatidylglycerol biosynthetic process,4.642355094582676e-4,48,3.723827556409933,5.2735593669694936e-14,6.383871067555083e-13,526302,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0035608,protein deglutamylation,0.0012685498532936101,129,3.6624259418510676,0,0,326063,3,6,1.8359635474549898,0.2062513146044942,0.5135129609683073
GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",0.0014363824012110738,146,3.66074485796403,0,0,190520,4,12,1.2239756983033265,0.4210895060265559,0.7255607723213372
GO:0002246,wound healing involved in inflammatory response,9.178352516120254e-4,93,3.649260745065802,0,0,273708,3,7,1.5736830406757056,0.2912039842857842,0.6153775217282969
GO:0006517,protein deglycosylation,0.0026178126636477303,265,3.6458096518226806,0,0,502680,6,18,1.2239756983033268,0.3623448917388492,0.6999361686456792
GO:0097494,regulation of vesicle size,0.001305448483742287,132,3.641672392180306,0,0,394473,2,17,0.4319914229305859,0.9669628574611684,1
GO:1902750,negative regulation of cell cycle G2/M phase transition,0.005245919854991515,525,3.6043282249568884,0,0,410824,12,60,0.734385418981996,0.9240527880400986,0.9843284270452602
GO:0051953,negative regulation of amine transport,0.004820166104001478,481,3.5939311477130738,0,0,499047,12,23,1.9157880495182504,0.009663678666469888,0.08284090150962535
GO:0018394,peptidyl-lysine acetylation,0.002515272958352969,250,3.5796582588659187,0,0,461459,6,18,1.2239756983033268,0.3623448917388492,0.6999361686456792
GO:0006548,L-histidine catabolic process,6.748209050415913e-4,67,3.575797820986181,0,0,642130,1,7,0.5245610135585685,0.8920289819224377,0.9762847523119922
GO:0052805,imidazole-containing compound catabolic process,6.748209050415913e-4,67,3.575797820986181,0,0,642130,1,7,0.5245610135585685,0.8920289819224377,0.9762847523119922
GO:1990182,exosomal secretion,0.002156803546716945,214,3.5734677334491973,0,0,571942,6,18,1.2239756983033268,0.3623448917388492,0.6999361686456792
GO:0002322,B cell proliferation involved in immune response,0.0010097335955103351,100,3.5668091697472524,0,0,298600,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
GO:0007413,axonal fasciculation,0.005974694378289606,590,3.5565015103157402,0,0,475524,10,21,1.748536711861895,0.03656009836706453,0.19705008920740755
GO:0106030,neuron projection fasciculation,0.005974694378289606,590,3.5565015103157402,0,0,475524,10,21,1.748536711861895,0.03656009836706453,0.19705008920740755
GO:0098543,detection of other organism,8.711581484489326e-4,85,3.5140553937289623,0,0,292889,3,15,0.734385418981996,0.8190820907857794,0.9571324724710311
GO:1904464,regulation of matrix metallopeptidase secretion,0.0010484475087941538,102,3.5038068740728288,0,0,287280,4,6,2.447951396606653,0.05060607278757212,0.23471567289945247
GO:1990773,matrix metallopeptidase secretion,0.0010484475087941538,102,3.5038068740728288,0,0,287280,4,6,2.447951396606653,0.05060607278757212,0.23471567289945247
GO:0051176,positive regulation of sulfur metabolic process,0.0016735187556735718,162,3.4863510176496693,0,0,337705,4,5,2.937541675927984,0.021494623947864833,0.1379223203022182
GO:0001840,neural plate development,0.0019513479334443303,187,3.4513863280535944,0,0,365509,4,8,1.8359635474549898,0.14695130213797236,0.436321657938162
GO:0045686,negative regulation of glial cell differentiation,0.0050594408001087615,484,3.4453196703815596,0,0,528728,9,23,1.4368410371386877,0.14751333961963198,0.436321657938162
GO:0006308,DNA catabolic process,0.001772346780964892,169,3.4341928879784507,0,0,226650,5,25,0.734385418981996,0.8513620986072128,0.9624472891585893
GO:0097284,hepatocyte apoptotic process,0.002557701348686199,242,3.407628282852418,0,0,477620,6,19,1.1595559247084146,0.41842927427168564,0.7255607723213372
GO:0014047,glutamate secretion,0.005094774483336696,481,3.400218234385164,0,0,505977,13,29,1.6460362839251634,0.0314303451899175,0.17841135269602607
GO:0007614,short-term memory,0.0010516683072296943,99,3.3903387146710924,0,0,368186,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0099041,vesicle tethering to Golgi,6.81726811543849e-4,64,3.3810864870632185,3.3306690738754696e-16,4.451465651116104e-15,400617,1,5,0.734385418981996,0.7960356057530156,0.9481702949501966
GO:1902730,positive regulation of proteoglycan biosynthetic process,0.0017298107043617803,162,3.372897278405393,0,0,337336,4,5,2.937541675927984,0.021494623947864833,0.1379223203022182
GO:0007185,cell surface receptor protein tyrosine phosphatase signaling pathway,0.001984965628969091,184,3.3385010151450545,0,0,453970,4,6,2.447951396606653,0.05060607278757212,0.23471567289945247
GO:0003339,regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,0.0017111390239827517,157,3.304464093960114,0,0,343441,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0060159,regulation of dopamine receptor signaling pathway,0.0018912282273448866,173,3.294494922417225,0,0,321327,5,11,1.6690577704136274,0.15358559766977242,0.43985945306777063
GO:0035646,endosome to melanosome transport,7.014082255183876e-4,64,3.28621368629669,1.3322676295501878e-15,1.7228539414217275e-14,483926,2,10,0.734385418981996,0.802695333637015,0.9481702949501966
